id,scrape_id,source,description,picture_url,host_url,host_since,host_about,host_response_rate,host_is_superhost,host_picture_url,host_listings_count,host_verifications,host_identity_verified,neighbourhood_cleansed,latitude,property_type,accommodates,bathrooms_text,beds,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,has_availability,availability_60,availability_365,number_of_reviews,number_of_reviews_l30d,number_of_reviews_ly,estimated_revenue_l365d,last_review,review_scores_accuracy,review_scores_checkin,review_scores_location,license,calculated_host_listings_count,calculated_host_listings_count_private_rooms,reviews_per_month
2992450.0,20250600000000.0,city scrape,"The apartment is located in a quiet neighborhood . Fully furnished. Linens and towels are provided. It's two blocks away from downtown Albany, and the Palace theater.",https://a0.muscache.com/pictures/44627226/0e72c75c_original.jpg,https://www.airbnb.com/users/show/4621559,2013-01-07,I am a real down to earth & cool person.,100%,f,https://a0.muscache.com/im/users/4621559/profile_pic/1363081467/original.jpg?aki_policy=profile_x_medium,1,"['email', 'phone']",t,THIRD WARD,42.65789,Entire rental unit,4,1 bath,2.0,$70.00,1125,28,1125,1125.0,t,0,70,9,0,0,0.0,17/08/2022,3.44,4.22,3.22,,1,0,0.07
3820211.0,20250600000000.0,city scrape,"Cozy, cool little 1BR Apt in the heart Albany's Center Sq. close to everything.  Enjoy the hip, walking neighborhood and verdant Washington Park in a neighborhood with great eats, architecture and culture... Everything you need down to the corkscrew.",https://a0.muscache.com/pictures/prohost-api/Hosting-3820211/original/7a087429-5f8f-4c7f-990a-291a82b784dc.jpeg,https://www.airbnb.com/users/show/19648678,2014-08-07,"I'm from Kansas City, MO. I've driven the entire US, logging over a  million miles on a 10 year working road trip. I settled in Albany, NY, a hardworking, no-nonsense sort of town, drenched in history, education and politics. I love this town not just for the town itself as much as the location. It's truly a sportsman's(sportswoman's) paradise, while being so close to very civilized civilization. There's easy access to NYC, Saratoga, Lake George, Vermont, Montreal & my favorite The Berkshires in Massachusetts.  ",100%,t,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_x_medium,4,"['email', 'phone']",t,SIXTH WARD,42.65222,Entire rental unit,2,1 bath,1.0,$100.00,1125,3,1125,1125.0,t,30,335,308,0,15,3600.0,29/03/2025,4.89,4.85,4.83,,4,0,2.34
5651579.0,20250600000000.0,city scrape,"Spacious studio with hardwood floors, fully equipped kitchen, clean and bright. Large modern bath .  Full Cable TV and WiFi. Walking distance to the new Renaissance Hotel.<br />Walk to everything downtown! The Empire Plaza  and the Egg are  across the street.You can't get any closer, to the MVP Arena,  as well as Restaurants, bars, churches. Walk to  Capital and the new Capital Convention Center. Laundry facilities in the apartment",https://a0.muscache.com/pictures/b3fc42f3-6e5e-4704-9d0f-8ceee5d32046.jpg,https://www.airbnb.com/users/show/29288920,2015-03-13,I am an Albany native .I have lived in Ireland and had a B & B in Tramore County Waterford back in the early nineties. While doing so we met a lot of wonderful people. I have been in the real estate business for over 30 years . I believe in keeping the mind and body fit. I am easy going and love a good laugh. ,100%,t,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,2,"['email', 'phone', 'work_email']",t,SECOND WARD,42.64615,Entire rental unit,2,1 bath,1.0,$75.00,45,2,1125,1125.0,t,0,15,371,0,38,10800.0,16/02/2025,4.62,4.81,4.76,,2,1,3.02
6623339.0,20250600000000.0,city scrape,"Large renovated 1 bedroom apartment in converted police precinct with original tin ceilings. Center Square-the ""village in the city."" Located in a restored police precinct, you are within walking distance of everything, including verdant Washington Park, restaurants and pubs of Lark St., the state capitol, downtown, Albany Med/Law/Pharmacy.",https://a0.muscache.com/pictures/prohost-api/Hosting-6623339/original/fe9b077d-2c75-458d-a4c1-71fed46d598a.jpeg,https://www.airbnb.com/users/show/19648678,2014-08-07,"I'm from Kansas City, MO. I've driven the entire US, logging over a  million miles on a 10 year working road trip. I settled in Albany, NY, a hardworking, no-nonsense sort of town, drenched in history, education and politics. I love this town not just for the town itself as much as the location. It's truly a sportsman's(sportswoman's) paradise, while being so close to very civilized civilization. There's easy access to NYC, Saratoga, Lake George, Vermont, Montreal & my favorite The Berkshires in Massachusetts.  ",100%,t,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_x_medium,4,"['email', 'phone']",t,SIXTH WARD,42.65222,Entire rental unit,2,1 bath,1.0,$95.00,1125,3,1125,1125.0,t,0,282,331,0,22,7980.0,09/02/2025,4.83,4.82,4.8,,4,0,2.72
9005989.0,20250600000000.0,city scrape,"(21 years of age or older ONLY) NON- SMOKING.. NO PARTIES Allowed.  Cozy basement apartment in a historic brownstone in the heart of ""Center Square"".  Surrounded by shops, restaurants, and night life. Walking distance to Albany Med, State Offices, The State Capital, and The Empire State Plaza. 30 mins from Saratoga Raceway. 50 mins from Lake George. 1/2 mile Palace theater",https://a0.muscache.com/pictures/d242a77e-437c-4d0a-9029-005a05f8d282.jpg,https://www.airbnb.com/users/show/17766924,2014-07-07,,100%,t,https://a0.muscache.com/im/pictures/user/ae311d04-cbca-423a-aa92-8a4b3d6997de.jpg?aki_policy=profile_x_medium,1,"['email', 'phone']",t,SIXTH WARD,42.65559,Entire rental unit,4,1 bath,2.0,$86.00,1125,1,1125,1125.0,t,0,128,620,0,31,14964.0,08/05/2025,4.86,4.95,4.87,,1,0,5.76
9501054.0,20250600000000.0,city scrape,"Great location within walking distance to the Capital. It is a good size bedroom with WiFi internet . Private full bath.  We provide in the room a small refrigerator, Microwave ,coffee pot,iron ,hair dryer and  TV. Lots of entertainment nearby. Brew pubs, restaurants, the NYS Museum. Governor's Mansion. Washington Park.Capital Rep Theater as well as the Palace Theater.",https://a0.muscache.com/pictures/45153167-d704-48ed-9320-ab2f139bd352.jpg,https://www.airbnb.com/users/show/29288920,2015-03-13,I am an Albany native .I have lived in Ireland and had a B & B in Tramore County Waterford back in the early nineties. While doing so we met a lot of wonderful people. I have been in the real estate business for over 30 years . I believe in keeping the mind and body fit. I am easy going and love a good laugh. ,100%,t,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,2,"['email', 'phone', 'work_email']",t,SECOND WARD,42.64734,Private room in rental unit,2,1 private bath,2.0,$52.00,60,1,60,60.0,t,34,223,418,2,42,10608.0,31/05/2025,4.72,4.84,4.77,,2,1,3.67
10768745.0,20250600000000.0,city scrape,Spacious warm studio in 1840 house close to hospitals and downtown. Own bath flat screen cable tv wireless internet ground floor. Double bed coffee tea fridge microwave and parking. Suit 1. On park walk to post office cvs Chinese sports bar. Comfortable and decorated with taste. Irish host,https://a0.muscache.com/pictures/hosting/Hosting-10768745/original/20b04600-3c69-432b-9a22-f10701cdb82d.jpeg,https://www.airbnb.com/users/show/5691268,2013-03-30,I'm Irish living in Albany NY.  I have 3 grown up kids.  I have 2 chihuauas    I am visiting Toronto to meet my sister and nephew who are visiting from Ireland.  Don't smoke or drink just love my dogs!,95%,t,https://a0.muscache.com/im/pictures/user/d34e69f3-8c6e-48e7-b3f5-c2d42939675a.jpg?aki_policy=profile_x_medium,2,"['email', 'phone']",f,FOURTEENTH WARD,42.66078,Private room in guest suite,1,1 private bath,1.0,$54.00,1125,1,1125,1125.0,t,36,153,792,4,128,13770.0,21/05/2025,4.89,4.93,4.92,,2,2,6.96
11253948.0,20250600000000.0,city scrape,"Cute single family bungalow (1200sqft) in a convenient location with the lots of restaurants, bars and shops right around the corner. <br /><br />Totally renovated with open floor plan.<br /><br />77” 2023 LG B3 OLED TV  just added to living room with Sonos surround + sub!<br /><br />3 Bedrooms with 1 King bed, 2 Queen beds, 1 Full sized bed and 2 airbeds can be added upon request.  Easy Parking two lane driveway by house.<br /><br />$50 pet fee, please inquire before booking, thank you!",https://a0.muscache.com/pictures/f0e43651-0834-4cbd-9d7d-72ef465a316d.jpg,https://www.airbnb.com/users/show/4259750,2012-11-27,"I was born in Poland but grew up in NY and now i'm back in NY after grad school in Europe.  I love sailing, flying gliders, hiking, hammocks, cycling, photography, travel, minimalism, tennis,  podcasts, biohacking and my KJV.  I started traveling airbnb during my time in Europe and now I’m a host in NY! 
Listings:
airbnb.com/h/38eden
airbnb.com/h/55eden
airbnb.com/h/18home
airbnb.com/h/24miller
airbnb.com/h/24eden
airbnb.com/h/433western",100%,t,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_x_medium,8,"['email', 'phone']",t,FIFTEENTH WARD,42.67567,Entire place,10,2 baths,4.0,$264.00,1124,2,1124,1124.0,t,37,326,188,2,34,47520.0,18/05/2025,4.93,4.99,4.95,,8,0,1.71
11639446.0,20250600000000.0,city scrape,"Regular breakfast free<br /><br />Lunch packed $5<br />Dinner Plate $10<br /><br />We updated cleaning protocol because of COVID-19 pandemic<br /><br />OUR PRIORITY IS ORGANIC LIFE SO OTHER THING IS LESS IMPORTANT <br />FREE LAUNDRY <br />AIR CONDITIONING <br />No parking space on premises just street parking<br />.<br />Internet High speed WiFi,<br />This building is 100 years older.<br />We don't use chemical pesticides ,chemical cleaning stuff.We use Vinegar,baking powder,biological pesticides .<br />Therefore not fancy clea",https://a0.muscache.com/pictures/1129f67c-dfb2-4a2c-bb1d-914a3245d600.jpg,https://www.airbnb.com/users/show/61700428,2016-03-05,"Guest's satisfaction and happiness is much more important than money!
顾客的满意远比赚钱重要!我的初衷是帮助更多的人､服务更多的人~
We provide emotional comfort more than physically comfortable
我们提供的情感舒适度超过身体舒适度.",,f,https://a0.muscache.com/im/pictures/user/fcc2b09f-611c-457c-828b-43336a05dfae.jpg?aki_policy=profile_x_medium,2,"['email', 'phone']",t,ELEVENTH WARD,42.67583,Private room in home,1,1.5 shared baths,1.0,$55.00,112,15,112,112.0,t,60,365,231,0,2,0.0,29/02/2024,4.87,4.94,4.52,,2,2,2.1
12799126.0,20250600000000.0,city scrape,,https://a0.muscache.com/pictures/3e656127-d8e2-4743-a405-1b91d81c4dc7.jpg,https://www.airbnb.com/users/show/69729286,2016-05-01,,100%,f,https://a0.muscache.com/im/pictures/user/5507d01f-fe58-4066-9900-5de519b5dfd6.jpg?aki_policy=profile_x_medium,2,"['email', 'phone']",t,SIXTH WARD,42.65154,Private room in rental unit,1,1 shared bath,1.0,$47.00,1125,5,1125,1125.0,t,41,344,28,0,1,0.0,06/02/2024,4.89,4.82,4.71,,2,2,0.48
